@relation InstanceResultListener

@attribute Key_Dataset {'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.trees.Id3,weka.classifiers.trees.J48,weka.classifiers.trees.LMT,weka.classifiers.trees.RandomForest,weka.classifiers.trees.RandomTree,weka.classifiers.lazy.IBk,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'','-C 0.25 -M 2','-I -1 -M 15 -W 0.0','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-K 0 -M 1.0 -V 0.001 -S 1','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {48055541465867954,-2693678647096322561,-217733168393644444,-1113212459618104943,1116839470751428698,-9051119597407396024,-3080186098777067172,-5990607817048210779,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 92\nSize of the tree: 123\n','Number of leaves: 79\nSize of the tree: 109\n','Number of leaves: 97\nSize of the tree: 130\n','Number of leaves: 95\nSize of the tree: 129\n','Number of leaves: 101\nSize of the tree: 138\n','Number of leaves: 88\nSize of the tree: 121\n','Number of leaves: 90\nSize of the tree: 122\n','Number of leaves: 73\nSize of the tree: 103\n','Number of leaves: 93\nSize of the tree: 125\n','Number of leaves: 83\nSize of the tree: 114\n','Number of leaves: 89\nSize of the tree: 120\n','Number of leaves: 84\nSize of the tree: 116\n','Number of leaves: 72\nSize of the tree: 98\n','Number of leaves: 95\nSize of the tree: 126\n','Number of leaves: 91\nSize of the tree: 124\n','Number of leaves: 69\nSize of the tree: 95\n','Number of leaves: 71\nSize of the tree: 102\n','Number of leaves: 100\nSize of the tree: 136\n','Number of leaves: 107\nSize of the tree: 144\n','Number of leaves: 71\nSize of the tree: 99\n','Number of leaves: 76\nSize of the tree: 106\n','Number of leaves: 96\nSize of the tree: 131\n','Number of leaves: 85\nSize of the tree: 115\n','Number of leaves: 81\nSize of the tree: 110\n','Number of leaves: 80\nSize of the tree: 108\n','Number of leaves: 69\nSize of the tree: 98\n','Number of leaves: 85\nSize of the tree: 118\n','Number of leaves: 115\nSize of the tree: 154\n','Number of leaves: 77\nSize of the tree: 105\n','Number of leaves: 75\nSize of the tree: 104\n','Number of leaves: 87\nSize of the tree: 119\n','Number of leaves: 99\nSize of the tree: 134\n','Number of leaves: 63\nSize of the tree: 92\n','Number of leaves: 71\nSize of the tree: 96\n','Number of leaves: 86\nSize of the tree: 120\n','Number of leaves: 90\nSize of the tree: 125\n','Number of leaves: 102\nSize of the tree: 137\n','Number of leaves: 77\nSize of the tree: 108\n','Number of leaves: 91\nSize of the tree: 121\n','Number of leaves: 74\nSize of the tree: 105\n','Number of leaves: 80\nSize of the tree: 111\n','Number of leaves: 81\nSize of the tree: 113\n','Number of leaves: 82\nSize of the tree: 115\n','Number of leaves: 94\nSize of the tree: 127\n','Number of leaves: 86\nSize of the tree: 117\n','Number of leaves: 98\nSize of the tree: 132\n','Number of leaves: 109\nSize of the tree: 148\n','Number of leaves: 93\nSize of the tree: 128\n','Number of leaves: 74\nSize of the tree: 102\n','Number of leaves: 104\nSize of the tree: 138\n','Number of leaves: 62\nSize of the tree: 87\n','Number of leaves: 78\nSize of the tree: 110\n','Number of leaves: 88\nSize of the tree: 118\n','Number of leaves: 82\nSize of the tree: 112\n','Number of leaves: 99\nSize of the tree: 137\n','Number of leaves: 105\nSize of the tree: 140\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',9,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,465,52,20,32,0,38.461538,61.538462,0,0,0.295614,0.384556,100,100,108.451898,108.451898,0,2.085613,2.085613,0,0,0,0,0,0,0,0,1,43,1,9,?,0,?,?,0.5,0.173077,0.384615,0.384615,0.615385,0.615385,?,0.384615,?,?,0.5,0.261095,?,0.384615,0,0,0,0,0,0,984,132958,21861,96.153846,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',9,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,465,52,20,32,0,38.461538,61.538462,0,0,0.295614,0.384556,100,100,108.451898,108.451898,0,2.085613,2.085613,0,0,0,0,0,0,0,0,1,43,1,9,?,0,?,?,0.5,0.173077,0.384615,0.384615,0.615385,0.615385,?,0.384615,?,?,0.5,0.261095,?,0.384615,0,0,0,0,0,0,984,132958,21861,96.153846,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',9,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,466,51,20,31,0,39.215686,60.784314,0,0,0.293976,0.382161,100,100,103.201248,103.201248,0,2.023554,2.023554,0,0,0,0,0,0,0,0,1,42,1,9,?,0,?,?,0.5,0.176471,0.392157,0.392157,0.607843,0.607843,?,0.392157,?,?,0.5,0.270281,?,0.392157,0,0,0,0,0,0,984,133227,21592,98.039216,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',9,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,466,51,20,31,0,39.215686,60.784314,0,0,0.293976,0.382161,100,100,103.201248,103.201248,0,2.023554,2.023554,0,0,0,0,0,0,0,0,1,42,1,9,?,0,?,?,0.5,0.176471,0.392157,0.392157,0.607843,0.607843,?,0.392157,?,?,0.5,0.270281,?,0.392157,0,0,0,0,0,0,984,133227,21592,98.039216,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',9,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,466,51,19,32,0,37.254902,62.745098,0,0,0.295175,0.383916,100,100,104.086588,104.086588,0,2.040913,2.040913,0,0,0,0,0,0,0,0,1,42,1,9,?,0,?,?,0.5,0.176471,0.372549,0.372549,0.627451,0.627451,?,0.372549,?,?,0.5,0.26336,?,0.372549,0,0,0,0,0,0,984,133227,21592,98.039216,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',10,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,465,52,20,32,0,38.461538,61.538462,0,0,0.29455,0.382998,100,100,105.663857,105.663857,0,2.031997,2.031997,0,0,0,0,0,0,0,0,1,42,1,10,?,0,?,?,0.5,0.192308,0.384615,0.384615,0.615385,0.615385,?,0.384615,?,?,0.5,0.267012,?,0.384615,0,0,0,0,0,0,984,132958,21861,98.076923,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',10,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,465,52,20,32,0,38.461538,61.538462,0,0,0.29455,0.382998,100,100,105.663857,105.663857,0,2.031997,2.031997,0,0,0,0,0,0,0,0,1,42,1,10,?,0,?,?,0.5,0.192308,0.384615,0.384615,0.615385,0.615385,?,0.384615,?,?,0.5,0.267012,?,0.384615,0,0,0,0,0,0,984,132958,21861,98.076923,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',10,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,465,52,20,32,0,38.461538,61.538462,0,0,0.29455,0.382998,100,100,105.663857,105.663857,0,2.031997,2.031997,0,0,0,0,0,0,0,0,1,42,1,10,?,0,?,?,0.5,0.192308,0.384615,0.384615,0.615385,0.615385,?,0.384615,?,?,0.5,0.267012,?,0.384615,0,0,0,0,0,0,984,132958,21861,98.076923,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',10,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,465,52,20,32,0,38.461538,61.538462,0,0,0.29455,0.382998,100,100,105.663857,105.663857,0,2.031997,2.031997,0,0,0,0,0,0,0,0,1,42,1,10,?,0,?,?,0.5,0.192308,0.384615,0.384615,0.615385,0.615385,?,0.384615,?,?,0.5,0.267012,?,0.384615,0,0,0,0,0,0,984,132958,21861,98.076923,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',10,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,465,52,20,32,0,38.461538,61.538462,0,0,0.295614,0.384556,100,100,108.451898,108.451898,0,2.085613,2.085613,0,0,0,0,0,0,0,0,1,43,1,9,?,0,?,?,0.5,0.173077,0.384615,0.384615,0.615385,0.615385,?,0.384615,?,?,0.5,0.261095,?,0.384615,0,0,0,0,0,0,984,132958,21861,96.153846,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',10,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,465,52,19,33,0,36.538462,63.461538,0,0,0.296792,0.386275,100,100,109.337238,109.337238,0,2.102639,2.102639,0,0,0,0,0,0,0,0,1,43,1,9,?,0,?,?,0.5,0.173077,0.365385,0.365385,0.634615,0.634615,?,0.365385,?,?,0.5,0.254438,?,0.365385,0,0,0,0,0,0,984,132958,21861,96.153846,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',10,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,465,52,19,33,0,36.538462,63.461538,0,0,0.296792,0.386275,100,100,109.337238,109.337238,0,2.102639,2.102639,0,0,0,0,0,0,0,0,1,43,1,9,?,0,?,?,0.5,0.173077,0.365385,0.365385,0.634615,0.634615,?,0.365385,?,?,0.5,0.254438,?,0.365385,0,0,0,0,0,0,984,132958,21861,96.153846,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',10,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,466,51,19,32,0,37.254902,62.745098,0,0,0.295175,0.383916,100,100,104.086588,104.086588,0,2.040913,2.040913,0,0,0,0,0,0,0,0,1,42,1,9,?,0,?,?,0.5,0.176471,0.372549,0.372549,0.627451,0.627451,?,0.372549,?,?,0.5,0.26336,?,0.372549,0,0,0,0,0,0,984,133227,21592,98.039216,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',10,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,466,51,19,32,0,37.254902,62.745098,0,0,0.295175,0.383916,100,100,104.086588,104.086588,0,2.040913,2.040913,0,0,0,0,0,0,0,0,1,42,1,9,?,0,?,?,0.5,0.176471,0.372549,0.372549,0.627451,0.627451,?,0.372549,?,?,0.5,0.26336,?,0.372549,0,0,0,0,0,0,984,133227,21592,98.039216,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',10,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20210402.1727,466,51,19,32,0,37.254902,62.745098,0,0,0.295175,0.383916,100,100,104.086588,104.086588,0,2.040913,2.040913,0,0,0,0,0,0,0,0,1,42,1,9,?,0,?,?,0.5,0.176471,0.372549,0.372549,0.627451,0.627451,?,0.372549,?,?,0.5,0.26336,?,0.372549,0,0,0,0,0,0,984,133227,21592,98.039216,80,?,?,?,?,?
'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center',1,1,weka.classifiers.trees.Id3,'',-2693678647096322561,20210402.1727,465,52,34,17,1,65.384615,32.692308,1.923077,0.542239,0.129412,0.354246,44.702956,93.157031,106.160344,17185,-17078.839656,2.041545,336.960784,-334.879209,62.79768,1.231327,60.313489,0.555556,5,0.047619,2,0.952381,40,0.444444,4,0.714286,0.555556,0.625,0.562704,0.767442,0.632479,0.666667,0.120814,0.879186,0.333333,?,0.666667,?,?,0.780216,0.559651,?,0.666667,0.005,0,0,0,0,0,29948,132958,21861,67.307692,20.384615,?,?,?,?,?
